"file_level_details"
"(PJQPT,""Retirement, Contributions  Distributions"",""Qualified Plan activity, including Contributions, Distributions, FMV and related Fees"",taxppcore,tbl_retirement)"
"(PJNRS,""Status Codes"",""Aligns Transaction Types to Forms and Boxes"",taxppadmin,tbl_nra_stacked)"
"(PJNST,""Account Holder, Status"",""Account Owner attributes that may vary during the term of its relationship with the Client"",taxppcore,tbl_account_status)"
"(PJTX10,""TAXonomy - CUSIP Header"",""Contains primary level information concerning the security attributes and type"",taxppcore,tbl_taxonomy_cusipheader)"
"(PJFACTX,""Tax Data Services - Payment Type Cross Reference"",""Contains a Cross Reference to the TDS Payment Type to Transaction Types, By Record Type"",taxppadmin,tbl_tds_paytype_xref)"
"(PJNAS,""Account Holder, Supplemental Information"",""Supplemental Information associated with Account Owner including secondary account owners and other administrative data"",taxppcore,tbl_account_secondary)"
"(PJSTK,""Stock Record"",""A view of the Asset Holdings of Account Holders, generally by Settlement Date"",taxppcore,tbl_stockrecord)"
"(PJTX69,""TAXonomy - Service Code"",""The alignment of a CUSIP to a Tax Data Services product that may generate tax enrichment"",taxppcore,tbl_taxonomy_service_code)"
"(PJFMS,""Form Box Summary"",""Contains the Form/Box values (current and archive) for Fed/State/Commonwealth Forms"",taxppcore,tbl_formbox_summary)"
"(PJCM,""Cash Matrix"",""The Table Used To Standardize Incoming Transactions To The Broadridge Transaction / Withholding Type"",taxppadmin,tbl_cash_matrix)"
"(PJTX68,""TAXonomy - PJ Supplemental Information"",""Additional tax and/or reference data supporting the defintion of an Asset"",taxppcore,tbl_taxonomy_pjma_system)"
"(PJTX11,""TAXonomy - US Holder"",""Contains content used to align transaction classification and other payment handling for Residents of US"",taxppcore,tbl_taxonomy_usholder)"
"(PJWTDCE,""Tax Data Services - Service Code Eligibility"",""Contains Securities that are deemed eligible for tracking against TDS Service Codes that are generally eligible for enrichment or tracking for potential tax status changes"",taxppcore,tbl_pending_final_cusiplist)"
"(PJTX13,""TAXonomy - CUSIP Description Line 1"",""Description of the Asset"",taxppcore,tbl_taxonomy_cusip_desc)"
"(PJNNA,""Account Holder, Address"",""Contains Address information related to the Account Owner for filing and print purposes"",taxppcore,tbl_address)"
"(PJTRDE,""Trade and Movement Enrichment"",""Various Assignments Of Reason Codes That Drive Correction Events"",taxppcore,tbl_movement_enrichment)"
"(PJWTH,Withholding,""Contains withholding related activity from the Client Source"",taxppcore,tbl_withholding)"
"(PJCC,""Country Code"",""Contains The ISO And The IRS Country Codes"",taxppadmin,tbl_countrycode)"
"(PJELEC,""Account Holder, Elections"",""Account Holder Elections"",taxppcore,tbl_election)"
"(PJST,""State Codes"",""Contains the USPS State Codes"",taxppadmin,tbl_statecode)"
"(PJWACT,""Print job wave accounts"",""Print job wave accounts"",taxppcore,tbl_print_job_waveaccounts)"
