"column_desc_details"
"(abandoned,""Account status indicating it is unclaimed possibly requiring specific regulatory reporting"")"
"(audit_ind,""Inclusion indicator for record audits guaranteeing evaluation completeness and transparency in financial records"")"
"(audit_reason,""Reason codes indicating clientdefined audit inclusion supporting thorough review and fulfillment standards"")"
"(auditseq,""Sequence log of changes under audit ID supporting continuity and analytical review"")"
"(audit_sourceid,""User ID logging setup of audit indicators ensuring accountability in monitoring and control mechanisms"")"
"(basis_inc_ind,""Override for noncovered basis adjusting profiles for account holder transactions and reporting precision"")"
"(bdv_sign_cxl,""Internal file requirements defining debitcredit sign compliance in cancellations"")"
"(bdv_sign_orig,""Defines creditdebit requirements for original transaction files"")"
"(bec,""Entry code detailing corporate action affecting shareholder positions documenting and ensuring compliance"")"
"(bene_des,""Designation of beneficiarys position regarding account interests and fiducial assignments in structures"")"
"(bene_dist,""Educationfocused beneficiary distribution conforming to IRS definitions for educational savings coverage"")"
"(bene_ind,""Record indicator associated with account beneficiary maintaining scope separate from primary holders"")"
"(bene_pcnt,""Allocation percentage defining beneficiary shares within accounts solidifying distribution clarity and records"")"
"(bene_type,""Description classifying the beneficiary entity type ensuring formal recognition within financial distributions"")"
"(bona_fide_pr_type,""Designation of reportable type for Puerto Rican engagements complying with IRS regional reporting practices"")"
"(box_8949,""Box indicating term and covered disposition status for a capital asset on Form 8949 guiding tax reporting"")"
"(boxamount,""Boxaligned reporting amount eligible for form combination underlining report disclosures and fiscal accountability"")"
"(box_checked,""Assigned value for forms checkbox documenting selections or acknowledgments within operational records"")"
"(box_code,""Leveraged code populating form box authenticating transaction association and compliance with designated forms"")"
"(box_desc,""Official box description detailing lines defined by issuers enhancing jurisdictional interpretation and compliance"")"
"(bp_inc,""Election detailing bond premium inclusions or deferrals aligning income strategies and regulatory compliance"")"
"(branch,""Assigned branch coordinating with correspondent affecting transaction location and associated compliance"")"
"(brs_cxl,""Internal guideline for transaction cancellation and related creditdebit sign adjustments"")"
"(brs_orig,""Original transaction sign enforcement for debitcredit legitimacy"")"
"(bs_cd_cxl,""Defines file requirements for canceling transactions buysell actions"")"
"(bs_cd_orig,""Standard file requirements for buysell transaction processes in originals"")"
"(business_channel,""Defined business channel aligning faction account branchescorrespondents with targeted firm product deliveries"")"
"(businessdate,""Recorded business date reflecting when data was processed securing chronological accuracy within transactions"")"
"(buy_sell_code,""BuySell transaction code indicating cashstock flow in trade vital for transaction clarity"")"
"(bypass_code,""Code recording record bypass documenting exemptions in standard reporting for compliance audit trails"")"
"(bypass_status_cd,""Status code conveying bypass rationale when applicable ensuring reasoned exemptions in report trajectories"")"
"(ca_id,""Identifier linking transactions to payment system events ensuring traceability and auditing in financial records"")"
"(calcid,""Unique identifier for records within client environment ensuring data integrity and tracking"")"
"(calc_method,""Method indicating derived value calculation basis crucial for accurate reporting of transactions or positions"")"
"(call_price_last,""Last recorded price at which callable security can be redeemed impacting investment valuations"")"
"(call_price_next,""Next anticipated call price for callable security forecasting possible redemption impacts"")"
"(call_type,""Type of call schedule for securities specifying redemption conditions set by issuer"")"
"(cancel_code,""Code indicating state or status of record cancellation ensuring accurate reporting and updates"")"
"(capacity,""Descriptor of entitys role or capacity in trade denoting responsibility or involvement level"")"
"(carrier_rte,""Grouping of mailing addresses by USPS code enhancing mail delivery efficiency and organization"")"
"(cash_rate,""Rate per share for calculating payment amounts influencing transaction valuation"")"
"(cash_stock_primary,""Defines primary source for characterizing transaction types"")"
"(cash_stock_secondary,""Source defined for deriving transaction characteristics absent in primary attributes"")"
"(cat_code,""Code for Form 8966 reporting essential for FATCA compliance and classification"")"
"(category_code,""Assigned code facilitating grouping of elements supporting organization in reporting processes"")"
"(category_display,""General classification of transaction events representing form or report elements comprehensively"")"
"(cb_comments,""Freeform notes section for additional information or insights"")"
"(cb_hp_id,""Unique identifier tracking changes in starting balance within open lot ensuring audit continuity"")"
"(cbrecid,""Cost basis table identifier for record management"")"
"(cc_type,""Type indicating applicable cancellation rules essential for assessing and verifying record status"")"
"(cfsf_code,""IRSassigned state code for participation in Combined Federal State Reporting ensuring jurisdictional compliance"")"
"(ch3,""Tax code assigned for Chapter 3 purposes specifying foreign investor treatments in financial dealings"")"
"(ch3_ec,""Chapter 3 exemption code indicating tax exclusion based on account holder status and income"")"
"(ch3_rate,""Assigned Chapter 3 rate impacting tax on payments grounded in income code and holder status"")"
"(ch3_whr,""Payment rate under Chapter 3 guiding withholding based on income codes and account holder characteristics"")"
"(ch4,""Assigned Chapter 4 tax code for FATCA marking entitys compliance with foreign account tax protocols"")"
"(ch4_ec,""Chapter 4 exemption lowering FATCA taxes contingent on account holder status and defined income conditions"")"
"(ch4_rate,""Applied FATCA rate disengaged per Chapter 4 for account holder specifications on international payments"")"
"(ch4_whr,""Rate for Chapter 4 withholding tailoring FATCA oversight according to account details"")"
"(change_id,""Generated identifier logging last resource update crucial for audit and accounting continuity"")"
"(chapter,""Notation whether event applies under FATCA or Chapter 3 guiding compliant reporting conduct"")"
"(charge_ai,""Identifies whether transaction results in charge deferral or accrual postpurchase"")"
"(chronically_ill_ind,""Beneficial owner indication of chronic illness impacting financial plans and entitlements significantly"")"
"(city,""Identifies the city part of addresses crucial for locationspecific reporting and jurisdictional assignments"")"
"(client,""Unique client number for Broadridgedefined accounts essential for tracking and account management"")"
"(client_acct_type1,""Clientsupplied account type variable categorizing client source accounts for appropriate system application"")"
"(client_acct_type2,""Second clientsupplied account type variable further identifying source data variances for systemic application"")"
"(client_bo,""Client number defined by backoffice provider essential for reconciliation and service operations"")"
"(client_date_ex,""Clientdefined exdate for transactions dictating involvement or entitlement to earnings at specific cutoffs"")"
"(client_date_payment,""Specified date noting when client payments are processed delineating transactional completions"")"
"(client_date_record,""Date noting when a client record is officially entered or recognized significant for audit trails"")"
"(client_defined1,""Clientdefined field for passing customizable values supporting individual reporting needs and extensions"")"
"(client_defined2,""Clientdefined field available for use accommodating customized inputs unspecified in standard data sets"")"
"(client_defined3,""Userdefined field to pass unique values aiding in extending reports to meet specific client requirements"")"
"(client_defined4,""Clientsupplied field accommodating customizable reporting data supporting augmented transactional records"")"
"(client_dtcc,""DTCC participant number aiding in clearing trades and ensuring accurate identification across platforms"")"
"(client_juris,""Client jurisdiction identifying country of trade settlement ensuring compliance with local reporting laws"")"
"(client_key,""Key tracking alterations to clientsupplied records ensuring historical accuracy and version continuity"")"
"(client_payment_prefix,""Prefix clarifying transaction type in payment families aligning entries within cash matrices"")"
"(client_rate,""Specified client rate or derived rate from amountquantity presenting impactful valuation"")"
"(client_source,""Client source variable deriving tax transaction code critical for ensuring systematic interpretation"")"
"(client_taxyear,""Clientsupplied tax year noting defined financial realities across specified filing periods"")"
"(client_wht,""Supplied client value aiding in deriving withholding codes critical for tax service application"")"
"(coa_id,""Index for financial general ledger accounts categorizing financial records across organizational operations"")"
"(collectible,""Determines if asset record falls under collectible or digital asset treatment for specific tax implications"")"
"(color_ind,""Indicator for client preference to use colored attributes for enhanced document printing"")"
"(confidential_ind,""Indicator denoting account confidentiality requiring restricted access and possibly alternative reporting names"")"
"(constructive_receipt_eligible,""Asset subject to IRC sections for spillover treatment regarding RICs and REITs"")"
"(contact_email,""Email address for entity contact ensuring direct communication in referencing or queries"")"
"(contact_name,""Individual identified for entity contact purposes vital for communication and responsibility in records"")"
"(contact_tele,""Phone number with extension for entity contact aiding effective communication and clarification needs"")"
"(contact_title,""Title of contact person for reference entity clarifying their role and facilitating appropriate communications"")"
"(cont_cd,""ISO standard code identifying continental specification"")"
"(contract_id,""Designates contract identification for insurance or annuity purposes"")"
"(contract_units,""Number of option contract units typically standardized at 100 significant for option calculations"")"
"(contra_ind,""Denotes Sec_Id as contra CUSIP referring to a parent ensuring alignment in securities tracking"")"
"(controling_entity_ind,""Indicator if account holder controls a foreign corporation affecting crossjurisdictional tax reporting"")"
"(control_nmb,""OMBassigned control number for IRS form attributing official recognition and consistency"")"
"(corpaction_type,""Classification determining type of corporate action influencing tax and financial impacts"")"
"(corr_1099,""Client override of corrected IRS 1099 forms ensuring changes reflect accurate income documentation"")"
"(corr_480,""Client override for corrected IRS 480 form rectifying income or transactional inaccuracies"")"
"(corr_5498,""Clientdirected IRS 5498 form override allowing for amendment of account filing contributions"")"
"(correspondent,""Defined business correspondent enlisted by client fulfilling intermediary roles and distributions"")"
"(corr_source,""Source indicating record change essential for establishing chain reactions and audit trails in data"")"
"(corr_thrsh_ovr,""Indicator of correction threshold safeharbor optout for account holder denoting practical exclusion selection"")"
"(corr_thrsh_yr,""Year marking client correction threshold optout validating timeline engagements for fiscal shifts"")"
"(cost_unk_ind,""Marks if tax lot lacks a definite cost basis"")"
"(count_cusip,""Total payment records denoting matched CUSIP alignments ensuring reconciliation and volume verification"")"
"(country,""Assigned country code critical for international identification and standardization in transactions"")"
"(country_alpha2,""ISO Alpha3derived PJassigned country code directed by international guidelines for recognized nations"")"
"(country_birth,""Declared birth country of primary account holder potentially affecting tax and legal recognitions"")"
"(country_ffi_ein,""Country code for FFI EIN source verifying issuer engagements under financial systems of contextual origin"")"
"(country_ftin,""FTINassociated issuing country code standardizing tax identification across international transactions"")"
"(country_issue,""Entitys primary country as issuer vital for international recognition and fiscal assessment applications"")"
"(country_tax,""Principal taxing country integrating fiscal compliance with strategic tax obligations across jurisdictions"")"
"(country_tax2,""Secondary account holders taxation country ensuring structured assurance amid multiplex engagements"")"
"(country_tax_dual,""Dual citizenship country not recognized for primary tax obligations affecting tax planning and compliance"")"
"(country_tax_dual2,""Secondary holders dual citizenship country not affecting primary tax duties impacting compliance structures"")"
"(country_tax_nna,""Code indicating payees taxation country vital for international compliance and tax reporting obligations"")"
"(country_trade,""Country of original trade exchange ensuring jurisdictional recognition and regulatory adherence in transactions"")"
"(coupon_rate,""The annual interest rate of a bond significant for determining taxable income from interest payments"")"
"(coupon_type,""Type of interest applied to couponbearing securities impacting income classification and reporting"")"
"(courtesy_ind,""Indicator of accounts eligibility for courtesy exemptions influencing exempt statement qualifications"")"
"(coverage_year,""Year specifying when security became defined from cost basis perspective"")"
"(covered,""Status of security regarding IRS cost basis rules determining if transactions are classified as covered"")"
"(covered_ind,""Identification of tax lot coverage under IRS cost basis rules securing compliance in financial reporting"")"
"(covered_year,""Year security achieved covered status under IRS cost basis rules impacting compliant reporting"")"
"(createdby,""Importupdate job origin identifier for record creation ensuring procedural continuity and validations"")"
"(created_by,""Identification of import or update job creating the record securing procedural origin and traceability"")"
"(createddate,""Date of initial record generation crucial for tracking and verifying chronological data entries"")"
"(create_id,""Broadridgegenerated identifier for record creation assuring traceability and record management accuracy"")"
"(credit_interest_1441,""Identification of credit interest as reportable for countryplace of residence"")"
"(cr_flag,""Flag indicating events relation to RICREIT spillover rules essential for compliance and tax reporting"")"
"(cs_id,""Identifier leveraged for record cancellation facilitating adjustments and procedural integrity"")"
"(currency,""Assigned currency for issuer filings grounding financial transaction interactions"")"
"(currency_alpha,""Eventassociated currency code standardizing monetary references in global transactions"")"
"(currency_cd,""Recognized code for international currency identification"")"
"(current_taxonomy_sec_type,""Security type assigned by taxonomy impacting classification and reporting mechanisms in financial systems"")"
"(cusip,""CUSIP identifier for securities ensuring standardized recognition and tracking within financial instruments"")"
"(custreference,""Clientsupplied ID for potential record cancellation aiding verifications and process adjustments"")"
"(cxl_cor_reason,""Reason for record cancellation documented to provide clarity and compliance in accounting practices"")"
"(daaudit_id,""Unique identifier for tracking records through change cycles ensuring traceability in audits"")"
"(daaudit_seq,""Change log sequence numbered under audit ID crucial for examining financial evolution and integrity"")"
"(dadate_ex,""Exdate for corporate action as issued affecting equity claims or dividend entitlement recognition"")"
"(dadate_payment,""Issuers announced payment or contractual date dictating when payments are reliably processed"")"
"(dadate_record,""Issuerdefined record date for corporate actions relevant for verifying official shareholder status"")"
"(daf,""Accrual payment status affecting intramonth liquidations guiding matching rules for financial accuracy"")"
"(date_abandoned,""Official date account is classified as abandoned triggering compliance with unclaimed property rules"")"
"(date_add,""Date indicating when the record was introduced ensuring accurate tracking in historical records"")"
"(date_approved,""Date on which record received formal approval ensuring alignment within procedural frameworks"")"
"(date_archive,""Archive date for recordkeeping and historical referencing"")"
"(date_begin,""Records official start date guiding validity and intended use within established timelines"")"
"(date_birth,""Date marking primary account holders birth important for identity verification and compliance"")"
"(date_birth_secondary,""Secondary account holder birth date affecting identification and eligibility in account agreements"")"
"(date_business,""Date transaction was officially booked confirming placement in records for transaction tracking"")"
"(date_call_last,""Final call date for security essential for anticipating redemption timelines and investment impacts"")"
"(date_call_next,""Subsequent call date for security predicting when bonds may be redeemable in the future"")"
"(date_change,""Update date denoting when records were altered in systems crucial for maintaining data integrity"")"
"(date_change_mtm,""Date on which account holder changed marktomarket status affecting asset appraisals and valuations"")"
"(date_close,""The specified closure date for a tax lot"")"
"(date_closed,""Date marking account closure completing records and ending active engagements for compliance"")"
"(date_contract,""Issuerannounced date for contractual payments validating financial obligation fulfillment timelines"")"
"(date_cpn_dflt,""Date on which coupon payment defaulted or deferred impacting cash flow and investor outlooks"")"
"(date_cpn_init,""Date of the first coupon payment marking the commencement of scheduled interest distributions"")"
"(date_create,""Date when the record was created underpinning historical relatedness for shapeevolving processes"")"
"(date_created,""Record established date delivering historic precedence substantiating authoritative accounting roots"")"
"(date_dated,""Forthcoming call date of the security forecasting potential callbacks for investors"")"
"(date_death,""Official date of account holders death significant for estate tax processing and beneficiary claims"")"
"(date_declared,""Date board announces next dividend payment"")"
"(date_determined,""Date marking determination of terminalchronic illness relevant for health impact and exemptions in finance"")"
"(date_due_agy,""Required due date for corrected return submissions to agencies"")"
"(date_effective,""Date when a change becomes effective clarifying when terms apply distinct from the process initiation date"")"
"(date_end,""Date indicating when record usage is discontinued marking termination of active validity for compliance"")"
"(date_end_8966,""Date marking end of Form 8966 necessity for the account essential for concluding reporting obligations"")"
"(date_escheated,""Date assets escheated transferring to state for unclaimed property compliance ensuring legal transfer"")"
"(date_ex,""Required date when determining entitlements and ownership transfer particularly for revenue distributions"")"
"(date_expatriation,""Date when account holder renounced US citizenship impacting exit tax obligations and categories"")"
"(date_expiration,""Expiration date of agreement or security defining the end of its validity and rights"")"
"(date_expired,""Official date on which a record is expired confirming it is no longer valid or actionable"")"
"(date_factor,""Date when adjustments using factor coefficients occur critical in valuation recalibration of securities"")"
"(date_filing_corr,""Correspondence date for IRS correction filing essential in formalizing amended financial entries"")"
"(date_filing_orig,""Date of original filing submission under IRS standards preserving compliance and document originalities"")"
"(date_filing_void,""Date documenting voided filing entry under IRS regulations denoting withdrawal within procedural grounds"")"
"(date_fund,""Date distinguishing account opening from initial fund deposits clarifying fiscal commencement integrity"")"
"(date_fx,""Date of currency conversion to USD ensuring accuracy in exchange and reporting"")"
"(date_inactive,""Date of record transition to inactivity denoting it is no longer the most recent or updated version"")"
"(date_ind,""Indicator based on whether client stock record is by trade or settlement date impacting transaction analysis"")"
"(date_issue,""Date of issuing official documents or financial instruments founding respective validity or transactions"")"
"(date_julian,""Combined value showing current year with Julian day count aiding technical or formatted disclosures"")"
"(date_lastactivity,""Sourcedefined date of accounts last transaction essential for verifying activity in financial records"")"
"(date_last_activity,""Date of last activity in security by account crucial for maintaining updated transaction records"")"
"(date_lef,""Date on which lifetime expectancy calculations were made affecting annuities and similar distributions"")"
"(date_materialchange,""Date of recognized material change event indicating significant alterations to agreements or conditions"")"
"(date_maturity,""Maturity date of financial instruments denoting termination of obligation or contract fulfillment"")"
"(date_noncash,""Identifies date usage in noncash transaction processing scenarios"")"
"(date_notify_of_gf_status_was_lost,""Event date altering FATCA grandfathering condition applicability"")"
"(date_ofac_last,""Date of last OFAC list check on account ensuring noninvolvement with prohibited entities"")"
"(date_open,""Official date of account opening foundational for establishing transaction or account histories"")"
"(date_open_adj,""Adjusted open date for events affecting original trade terms"")"
"(date_pay_from,""Beginning date in a range establishing parameters for specific financial assessments or transactions"")"
"(date_payment,""Allocation record date required for payment specifying formal payment due acknowledgments"")"
"(date_pay_to,""Ending date in a range marking termination in specified periods for financial assessments"")"
"(date_print_last,""Last date record was used in a correction print supporting documented amendments or revisions"")"
"(date_print_orig,""Original print date of the record ensuring initial verification and authentic documentation"")"
"(date_processed,""Date record was processed in source system ensuring capture and verification of transactional completions"")"
"(date_record,""Required record date for payment allocations clarifying when entitlements were formally recognized"")"
"(date_released,""Date record was released for external report engine indicating readiness for broader processing use"")"
"(date_rmd,""Date deciding required minimum distributions RMD amounts in fiscal year"")"
"(date_settle,""Settlement date of position ensuring transactional alignment and financial resolution"")"
"(date_settle_close,""Settlement date of closing transactions ensuring final closure and reconciliation of financial activities"")"
"(date_settle_open,""Opening transaction settlement date establishing start affirming commitments authenticity"")"
"(date_start,""Effectivity start date of record or range ensuring accuracy of initial activation or application"")"
"(date_start_8966,""Form 8966 reporting commencement date indicating start of FATCA compliance responsibilities"")"
"(date_start_alloid,""Commencement date of All OID election for accountCUSIP initiating inclusive election adherence"")"
"(date_start_bpi,""Start date for bond premium inclusion election on accountCUSIP marking beginning of premium considerations"")"
"(date_start_mdi,""Initiation date for MDI on accountCUSIP defining market discount engagement commencement"")"
"(date_start_mdm,""Date of market discount method change for accountCUSIP conforming calculation shifts"")"
"(date_system,""Date record processed in Broadridge Tax Services structuring IRS timeline alignment and data echoes"")"
"(date_tefra,""Date account subject to withholding under TEFRA ensuring regulatory compliance"")"
"(date_terminate,""Date when treaties or provisions ended or ceased renewal terms"")"
"(date_tfr_eff,""Effective date for account transfer essential for confirming official transfer timing and managing compliance in estate or account shifts"")"
"(date_threshold,""Date of account holderthreshold settings change impacting financial limits or criteria under revised structures"")"
"(date_trade,""Date of trade for position supporting financial tracking and transaction authentication"")"
"(date_update,""Record update date indicating done modifications and affirm data contemporariness"")"
"(date_updated,""Cost basis update date for precise evaluation ensuring accuracy in financial revaluation methods"")"
"(date_updated_1441,""Date of latest review on credit interest reporting under country guidelines"")"
"(date_updated_exch,""Date exchange code last reviewed for qualified dividend eligibility"")"
"(date_updated_p17,""Date of last review for treaty exchange on dividend eligibility"")"
"(date_updated_withtime,""Record of update date and time ensuring data accuracy"")"
"(day_count,""Defined accounting method setting day count for accrualamortization reifying transactional gains or losses cycles"")"
"(days_diff,""Measurement between issuer and client paysettle dates ensuring alignment in transactional pacing"")"
"(days_period,""Defined days count in accrual periods essential for defining recordalignment intervals"")"
"(debitcreditcode,""Code defining transaction cash flow differentiating debit and credit transitions"")"
"(deceased_ind,""Indicator signaling account holders death anchoring applicable estate or taxrelated transitions"")"
"(default_sec_id,""Identifies default security ID used for related transactions"")"
"(deleted_date,""Timestamp marking file deletion date denoting concluding access and permanence readiness"")"
"(del_pt_chk,""Delivery point check digit for accuracy in USPS barcode routing aiding mailing and logistics support"")"
"(del_pt_nmb,""Delivery point number assigned by USPS ensuring addressspecific routing and logistical mapping"")"
"(desc1,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc2,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc3,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc4,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc5,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc6,""Clientprovided transaction description clarifying transaction nature for reporting purposes"")"
"(desc_link,""Link connecting detailed descriptions offering insight into transactional or record specifics"")"
"(desc_link_type,""Type indicating description link origin whether ruledefined or exceptionbased affecting processing"")"
"(descriptif,""French name description for a Canadian province"")"
"(description,""Provides detailed explanations for specific field labels"")"
"(desc_short,""Abbreviated description of asset providing quick insight into its nature or purpose"")"
"(designation,""Securityrelated attribute designation affecting regulatory and taxation applicability"")"
"(detailid,""Specific ID for record in cost basis dataset"")"
"(dfmkid,""Unique identifier for statement boxes within BRTS systems"")"
"(direc_sr,""Eligible for direct statelevel reporting in compliance processes"")"
"(disregarded_hybrid,""Determines if an account is a disregarded hybrid entity"")"
"(disregarded_ind,""Indicator defining if account is a disregarded entity as reckoned by IRS criteria and financial placement"")"
"(disregarded_ref_acct,""Identifies beneficial owner account related to disregarded entity impacting how taxes are filed and managed"")"
"(dist_code,""IRS codes defining distribution type crucial for classifying income impacts and retirement plan distributions"")"
"(distributed_ind,""Indicator if event involves cash or implied transaction influencing how its treated taxwise"")"
"(dividend_date_ex,""Ex date for corporate action per issuer affecting shareholder dividend eligibility and tax recording"")"
"(dividend_paymentdate,""Settlepayment date of corporate action signaling recognized financial obligation fulfillment"")"
"(dividend_recorddate,""Issuerdefined record date for corporate action indicating shareholder entitlement legality"")"
"(dividend_taxyear,""Tax year per payment date or security record date impacting how income is reported to the IRS"")"
"(domestic_oid_type,""Domestic OID this asset eligibility assignment determining taxable assessments from asset appreciation"")"
"(dpa_ind,""Indicator for CUSIPs deferral arrangement mandating futureoriented tax allocations"")"
"(dupe_ind,""Requested duplicate of account statement standardizing redistributions based on identified need"")"
"(eci_family_1,""Disclosure of ECI suitable from account holder affirming qualified foreignsourced income"")"
"(eci_family_2,""Income disclosure of third ECI family level account qualifying crossborder earnings"")"
"(eci_family_3,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_4,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_5,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_6,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_7,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_8,""Account holder ECI eligible income disclosures to IRS jurisdiction aligned by family categorizations"")"
"(eci_family_div,""Income derived from dividend events effectively connected with US business activities"")"
"(eci_family_int,""Assigns ECI status to interest income and substitutes"")"
"(eci_family_msc,""Miscellaneous income events related to Effectively Connected Income classifications"")"
"(eci_family_oid,""Income events relevant to ECI concerning OIDperiodic interests"")"
"(edel_ind,""Indicator showing status of eDelivery option impacting document handling and transmission formats"")"
"(ed_match,""Exdate match between issuer and client ensuring correct entitlement synchronization for dividends"")"
"(eligibility_type_print,""Control record format eligibility derived finetuned purely"")"
"(eligibility_type_transmit,""Assigned value for record transmission eligibility confirming readiness of control records"")"
"(email,""Accountholders email for correspondence ensuring clear and prompt information exchange"")"
"(end_date,""Termination date for exemption as specified in 1446F"")"
"(ending_acct_cusips,""Distinguishes ending account details using CUSIP identifiers"")"
"(entity_id,""Clientprovided reference ID crucial for entity identification and documentation crossverifications"")"
"(entity_id_type,""Type of ID provided ensuring alignment with legal standards and entity record accuracy"")"
"(entity_nbr,""Unique number identifying an entity distinct from TINEIN for recordkeeping and transactions"")"
